# stepparam	sweepparam	measured
# "stepparam"	"sweepparam"	"measured"
# 85	84
-25.7647	-27.1429	-4.39549e+06
-25.7647	-26.4286	-4.38684e+06
-25.7647	-25.7143	-4.37268e+06
-25.7647	-25	-4.3588e+06
-25.7647	-24.2857	-4.34996e+06
-25.7647	-23.5714	-4.34804e+06
-25.7647	-22.8571	-4.32732e+06
-25.7647	-22.1429	-4.32131e+06
-25.7647	-21.4286	-4.31872e+06
-25.7647	-20.7143	-4.31424e+06
-25.7647	-20	-4.31231e+06
-25.7647	-19.2857	-4.29744e+06
-25.7647	-18.5714	-4.28743e+06
-25.7647	-17.8571	-4.28583e+06
-25.7647	-17.1429	-4.28011e+06
-25.7647	-16.4286	-4.27889e+06
-25.7647	-15.7143	-4.28179e+06
-25.7647	-15	-4.27824e+06
-25.7647	-14.2857	-4.26212e+06
-25.7647	-13.5714	-4.25212e+06
-25.7647	-12.8571	-4.25008e+06
-25.7647	-12.1429	-4.24716e+06
-25.7647	-11.4286	-4.23714e+06
-25.7647	-10.7143	-4.23978e+06
-25.7647	-10	-4.23617e+06
-25.7647	-9.28571	-4.22625e+06
-25.7647	-8.57143	-4.22199e+06
-25.7647	-7.85714	-4.21764e+06
-25.7647	-7.14286	-4.21039e+06
-25.7647	-6.42857	-4.2174e+06
-25.7647	-5.71429	-4.30218e+06
-25.7647	-5	-4.45634e+06
-25.7647	-4.28571	-4.55671e+06
-25.7647	-3.57143	-4.60648e+06
-25.7647	-2.85714	-4.63461e+06
-25.7647	-2.14286	-4.64074e+06
-25.7647	-1.42857	-4.63198e+06
-25.7647	-0.714286	-4.63106e+06
-25.7647	0	-4.63334e+06
-25.7647	0.714286	-4.64231e+06
-25.7647	1.42857	-4.63087e+06
-25.7647	2.14286	-4.6217e+06
-25.7647	2.85714	-4.62914e+06
-25.7647	3.57143	-4.62750e+06
-25.7647	4.28571	-4.62466e+06
-25.7647	5	-4.62854e+06
-25.7647	5.71429	-4.62952e+06
-25.7647	6.42857	-4.62237e+06
-25.7647	7.14286	-4.62608e+06
-25.7647	7.85714	-4.62652e+06
-25.7647	8.57143	-4.62225e+06
-25.7647	9.28571	-4.61846e+06
-25.7647	10	-4.61311e+06
-25.7647	10.7143	-4.61375e+06
-25.7647	11.4286	-4.61501e+06
-25.7647	12.1429	-4.60356e+06
-25.7647	12.8571	-4.59864e+06
-25.7647	13.5714	-4.5967e+06
-25.7647	14.2857	-4.5906e+06
-25.7647	15	-4.58705e+06
-25.7647	15.7143	-4.58634e+06
-25.7647	16.4286	-4.58642e+06
-25.7647	17.1429	-4.58201e+06
-25.7647	17.8571	-4.58108e+06
