# mwsource_frequency	sweepparam	measured
# "mwsource_frequency"	"sweepparam"	"measured"
# 100	928
4e+10	4.67672	-21632
4e+10	4.6875	-24168
4e+10	4.69828	-21558
4e+10	4.70905	-27906
4e+10	4.71983	-38002
4e+10	4.7306	-33486
4e+10	4.74138	-28908
4e+10	4.75216	-24105
4e+10	4.76293	-32721
4e+10	4.77371	-32771
4e+10	4.78448	-28191
4e+10	4.79526	-19826
4e+10	4.80603	-18829
4e+10	4.81681	-22089
4e+10	4.82759	-22867
4e+10	4.83836	-28884
4e+10	4.84914	-27008
4e+10	4.85991	-21219
4e+10	4.87069	-13931
4e+10	4.88147	-12404
4e+10	4.89224	-19005
4e+10	4.90302	-24892
4e+10	4.91379	-16955
4e+10	4.92457	-11489
4e+10	4.93534	-18405
4e+10	4.94612	-20019
4e+10	4.9569	-22681
4e+10	4.96767	-18266
4e+10	4.97845	-18976
4e+10	4.98922	-12146

3.95961e+10	-5	560310
3.95961e+10	-4.98922	562306
3.95961e+10	-4.97845	550364
3.95961e+10	-4.96767	547274
3.95961e+10	-4.9569	554272
3.95961e+10	-4.94612	558432
3.95961e+10	-4.93534	563100
3.95961e+10	-4.92457	562014
3.95961e+10	-4.91379	563119
3.95961e+10	-4.90302	561888
3.95961e+10	-4.89224	568153
3.95961e+10	-4.88147	569200
3.95961e+10	-4.87069	568340
3.95961e+10	-4.85991	572137
3.95961e+10	-4.84914	573609
3.95961e+10	-4.83836	579502
3.95961e+10	-4.82759	586150
3.95961e+10	-4.81681	590249
3.95961e+10	-4.80603	588845
3.95961e+10	-4.79526	583882
3.95961e+10	-4.78448	585595
3.95961e+10	-4.77371	585332
3.95961e+10	-4.76293	585658
3.95961e+10	-4.75216	591231
3.95961e+10	-4.74138	587120
3.95961e+10	-4.7306	589180
3.95961e+10	-4.71983	599674
3.95961e+10	-4.70905	602753
3.95961e+10	-4.69828	599957
3.95961e+10	-4.6875	604643
3.95961e+10	-4.67672	607991
3.95961e+10	-4.66595	614228
3.95961e+10	-4.65517	615308
3.95961e+10	-4.6444	614344
3.95961e+10	-4.63362	613083
3.95961e+10	-4.62284	616938
3.95961e+10	-4.61207	617066
3.95961e+10	-4.60129	617454
3.95961e+10	-4.59052	621420
3.95961e+10	-4.57974	621602
3.95961e+10	-4.56897	622980
3.95961e+10	-4.55819	621089
3.95961e+10	-4.54741	618022
3.95961e+10	-4.53664	616561
3.95961e+10	-4.52586	632192
3.95961e+10	-4.51509	643061
3.95961e+10	-4.50431	631932
3.95961e+10	-4.49353	630984
3.95961e+10	-4.48276	630972
3.95961e+10	-4.47198	630857
3.95961e+10	-4.46121	639019
3.95961e+10	-4.45043	635168
3.95961e+10	-4.43966	640571
3.95961e+10	-4.42888	634124
3.95961e+10	-4.4181	631948
3.95961e+10	-4.40733	635888
3.95961e+10	-4.39655	639535
